mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL266510_div,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,359.71,4.53,1,2,2,38.33,False,True,True,True
CHEMBL267345_div,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.09,0.71,12,17,3,319.61,False,False,True,False
CHEMBL267744_div,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,331.18,3.75,1,4,5,63.6,False,True,True,True
CHEMBL267894_div,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.28,1.18,2,3,4,75.27,False,True,True,True
CHEMBL267936_div,CNC1(C)C2CCC(C2)C1(C)C,167.3,2.42,1,1,1,12.03,False,True,True,True
CHEMBL268164_div,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,236.27,1.25,2,3,2,75.27,False,True,True,True
CHEMBL268869_div,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,280.31,0.87,2,6,4,107.2,False,True,True,True
CHEMBL269644_div,CC(=O)Nc1ccccc1,135.17,1.64,1,1,1,29.1,False,True,True,True
CHEMBL269671_div,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,282.34,2.39,0,5,0,53.99,False,True,True,True
CHEMBL269732_div,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.03,4.64,3,12,7,178.36,False,False,True,False
CHEMBL26_div,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.43,0.56,2,5,6,101.73,False,True,True,True
CHEMBL27193_div,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,328.41,2.14,4,4,8,95.58,False,True,True,True
CHEMBL273264_div,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,347.38,2.65,5,4,4,138.07,False,True,True,True
CHEMBL273575_div,CN1Cc2c(N)cccc2C(c2ccccc2)C1,238.33,2.85,1,2,1,29.26,False,True,True,True
CHEMBL273862_div,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,364.36,1.79,2,6,1,101.65,False,True,True,True
CHEMBL274323_div,N[C@@H](CC(=O)O)C(=O)O,133.1,-1.13,3,3,3,100.62,False,True,True,True
CHEMBL274654_div,Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O,310.35,3.14,3,2,4,82.19,False,True,True,True
CHEMBL276520_div,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,228.34,3.1,2,1,3,27.82,False,True,True,True
CHEMBL276568_div,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,389.43,0.71,4,6,5,132.96,False,True,True,True
CHEMBL276711_div,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,238.29,3.12,2,1,1,44.89,False,True,True,True
CHEMBL276832_div,NNc1nncc2ccccc12,160.18,0.92,2,4,1,63.83,False,True,True,True
CHEMBL277062_div,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,316.16,2.63,1,3,1,54.35,False,True,True,True
CHEMBL277100_div,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,417.39,2.9,2,4,3,74.57,False,True,True,True
CHEMBL277474_div,Cc1cc(=O)n(-c2ccccc2)n1C,188.23,1.48,0,1,1,26.93,False,True,True,True
CHEMBL277535_div,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,310.4,5.19,0,1,4,17.82,False,False,True,False
CHEMBL27759_div,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,376.42,3.34,3,5,6,106.34,False,True,True,True
CHEMBL278020_div,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.3,1.94,0,2,2,29.54,False,True,True,True
CHEMBL27810_div,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,379.5,2.89,3,5,9,90.9,False,True,True,True
CHEMBL278172_div,CCOC(=O)c1ccc(N)cc1,165.19,1.45,1,3,2,52.32,False,True,True,True
